route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
7,4,1382,"NEW YORK PENN STATION",0,"6320",429
7,4,1383,"NEW YORK PENN STATION",0,"6328",430
7,5,1384,"HOBOKEN",0,"0952",431
7,5,1385,"NEW YORK PENN STATION",0,"8908",432
7,5,1386,"HOBOKEN",0,"0954",433
7,5,1387,"HOBOKEN",0,"0956",434
7,5,1388,"HOBOKEN",0,"0962",435
7,5,1389,"HOBOKEN",0,"0964",436
7,5,1390,"HOBOKEN",0,"0966",437
7,5,1391,"NEW YORK PENN STATION",0,"8906",438
7,2,1392,"DOVER",1,"6917",439
7,2,1393,"DOVER",1,"6921",440
7,2,1394,"DOVER",1,"6929",441
7,2,1395,"DOVER",1,"6941",442
7,2,1396,"DOVER",1,"6945",443
7,1,1397,"DOVER",1,"6907",444
7,2,1398,"DOVER",1,"6915",445
7,2,1399,"DOVER",1,"6923",446
7,2,1400,"DOVER",1,"6927",447
7,2,1401,"DOVER",1,"6939",448
7,2,1402,"DOVER",1,"6913",449
7,2,1403,"DOVER",1,"6925",450
7,2,1404,"DOVER",1,"6933",451
7,2,1405,"DOVER",1,"6937",452
7,2,1406,"DOVER",1,"6919",453
7,2,1407,"DOVER",1,"6931",454
7,2,1408,"DOVER",1,"6935",455
7,2,1409,"DOVER",1,"6943",456
7,1,1410,"DOVER",1,"6909",457
7,4,1411,"DOVER",1,"6651",458
7,4,1412,"DOVER",1,"6655",459
7,4,1413,"SUMMIT",1,"0337",460
7,4,1414,"SUMMIT",1,"0341",461
7,4,1415,"DOVER",1,"6641",462
7,4,1416,"SUMMIT",1,"6307",463
7,4,1417,"SUMMIT",1,"6315",464
7,4,1418,"SUMMIT",1,"6317",465
7,4,1419,"SUMMIT",1,"0333",466
7,4,1420,"DOVER",1,"6653",467
7,4,1421,"DOVER",1,"6663",468
7,4,1422,"DOVER",1,"6617",469
7,4,1423,"DOVER",1,"6643",470
7,4,1424,"DOVER",1,"6659",471
7,4,1425,"SUMMIT",1,"0301",472
7,4,1426,"SUMMIT",1,"0309",473
7,4,1427,"SUMMIT",1,"6341",474
7,4,1428,"SUMMIT",1,"6343",475
7,4,1429,"DOVER",1,"0609",476
7,4,1430,"DOVER",1,"6647",477
7,4,1431,"DOVER",1,"0643",478
7,4,1432,"DOVER",1,"0645",479
7,4,1433,"HACKETTSTOWN",1,"0877",480
7,4,1434,"DOVER",1,"6667",481
7,4,1435,"MOUNT OLIVE",1,"0853",482
7,4,1436,"LAKE HOPATCONG",1,"0807",483
7,4,1437,"DOVER",1,"6639",484
7,4,1438,"DOVER",1,"6611",485
7,4,1439,"DOVER",1,"6619",486
7,4,1440,"DOVER",1,"6621",487
7,4,1441,"DOVER",1,"6625",488
7,4,1442,"DOVER",1,"6627",489
7,4,1443,"DOVER",1,"6675",490
7,4,1444,"DOVER",1,"6679",491
7,4,1445,"DOVER",1,"6635",492
7,4,1446,"DOVER",1,"6671",493
7,4,1447,"DOVER",1,"6607",494
7,4,1448,"DOVER",1,"6631",495
7,4,1449,"DOVER",1,"6683",496
7,4,1450,"HACKETTSTOWN",1,"0881",497
7,3,1451,"DOVER",1,"6601",498
7,4,1452,"DOVER",1,"0607",499
7,4,1453,"DOVER",1,"6613",500
7,3,1454,"DOVER",1,"6603",501
7,4,1455,"DOVER",1,"6677",502
7,4,1456,"LAKE HOPATCONG",1,"0813",503
7,4,1457,"HACKETTSTOWN",1,"0871",504
7,4,1458,"HACKETTSTOWN",1,"0851",505
7,4,1459,"SUMMIT",1,"0303",506
7,4,1460,"SUMMIT",1,"6305",507
7,4,1461,"SUMMIT",1,"6355",508
7,4,1462,"SUMMIT",1,"6359",509
7,4,1463,"SUMMIT",1,"6363",510
7,5,1464,"SUMMIT",1,"0951",511
7,5,1465,"DOVER",1,"8911",512
7,5,1466,"SUMMIT",1,"0953",513
7,5,1467,"SUMMIT",1,"0955",514
7,5,1468,"SUMMIT",1,"0961",515
7,5,1469,"SUMMIT",1,"0963",516
7,5,1470,"SUMMIT",1,"0965",517
7,5,1471,"DOVER",1,"8941",518
8,4,1472,"HOBOKEN",0,"0442",519
8,6,1473,"SUMMIT",0,"0746",520
8,2,1474,"SUMMIT",0,"0710",521
8,2,1475,"SUMMIT",0,"0712",522
8,2,1476,"SUMMIT",0,"0714",523
8,2,1477,"SUMMIT",0,"0716",524
8,2,1478,"SUMMIT",0,"0718",525
8,2,1479,"SUMMIT",0,"0720",526
8,2,1480,"SUMMIT",0,"0722",527
8,2,1481,"SUMMIT",0,"0724",528
8,2,1482,"SUMMIT",0,"0726",529
8,2,1483,"SUMMIT",0,"0728",530
8,2,1484,"SUMMIT",0,"0730",531
8,2,1485,"SUMMIT",0,"0732",532
8,2,1486,"SUMMIT",0,"0734",533
8,2,1487,"SUMMIT",0,"0736",534
8,2,1488,"SUMMIT",0,"0738",535
8,2,1489,"SUMMIT",0,"0740",536
8,2,1490,"SUMMIT",0,"0742",537
8,2,1491,"SUMMIT",0,"0744",538
8,4,1492,"HOBOKEN",0,"0466",539
8,4,1493,"HOBOKEN",0,"0434",540
8,4,1494,"HOBOKEN",0,"0400",541
8,4,1495,"HOBOKEN",0,"0438",542
8,4,1496,"NEW YORK PENN STATION",0,"6406",543
8,4,1497,"HOBOKEN",0,"0404",544
8,4,1498,"HOBOKEN",0,"0408",545
8,4,1499,"HOBOKEN",0,"0412",546
8,4,1500,"HOBOKEN",0,"0416",547
8,4,1501,"NEW YORK PENN STATION",0,"6410",548
8,4,1502,"HOBOKEN",0,"0414",549
8,4,1503,"HOBOKEN",0,"0402",550
8,4,1504,"HOBOKEN",0,"0480",551
8,4,1505,"HOBOKEN",0,"0432",552
8,4,1506,"HOBOKEN",0,"0430",553
8,4,1507,"HOBOKEN",0,"0418",554
8,4,1508,"HOBOKEN",0,"0420",555
8,4,1509,"HOBOKEN",0,"0422",556
8,4,1510,"HOBOKEN",0,"0424",557
8,4,1511,"HOBOKEN",0,"0426",558
8,4,1512,"HOBOKEN",0,"0428",559
8,4,1513,"HOBOKEN",0,"0440",560
8,5,1514,"NEW YORK PENN STATION",0,"8404",561
8,5,1515,"NEW YORK PENN STATION",0,"8406",562
8,6,1516,"GLADSTONE",1,"0745",563
8,6,1517,"GLADSTONE",1,"0707",564
8,6,1518,"GLADSTONE",1,"0709",565
8,2,1519,"GLADSTONE",1,"0711",566
8,2,1520,"GLADSTONE",1,"0713",567
8,2,1521,"GLADSTONE",1,"0715",568
8,2,1522,"GLADSTONE",1,"0717",569
8,2,1523,"GLADSTONE",1,"0719",570
8,2,1524,"GLADSTONE",1,"0721",571
8,2,1525,"GLADSTONE",1,"0723",572
8,2,1526,"GLADSTONE",1,"0725",573
8,2,1527,"GLADSTONE",1,"0727",574
8,2,1528,"GLADSTONE",1,"0729",575
8,2,1529,"GLADSTONE",1,"0731",576
8,2,1530,"GLADSTONE",1,"0733",577
8,2,1531,"GLADSTONE",1,"0735",578
8,2,1532,"GLADSTONE",1,"0737",579
8,2,1533,"GLADSTONE",1,"0739",580
8,2,1534,"GLADSTONE",1,"0741",581
8,2,1535,"GLADSTONE",1,"0743",582
8,12,1536,"GLADSTONE",1,"0701",583
8,13,1537,"GLADSTONE",1,"0405",584
8,4,1538,"GLADSTONE",1,"6431",585
8,4,1539,"GLADSTONE",1,"6437",586
8,4,1540,"MURRAY HILL",1,"0467",587
8,4,1541,"STIRLING",1,"0475",588
8,4,1542,"GLADSTONE",1,"0439",589
8,4,1543,"GLADSTONE",1,"0429",590
8,4,1544,"GLADSTONE",1,"0433",591
8,4,1545,"GLADSTONE",1,"0435",592
8,4,1546,"GLADSTONE",1,"0441",593
8,4,1547,"GLADSTONE",1,"0427",594
8,4,1548,"BERNARDSVILLE",1,"0481",595
8,4,1549,"GLADSTONE",1,"0409",596
8,4,1550,"GLADSTONE",1,"0411",597
8,4,1551,"GLADSTONE",1,"0413",598
8,4,1552,"GLADSTONE",1,"0415",599
8,4,1553,"GLADSTONE",1,"0417",600
8,4,1554,"GLADSTONE",1,"0419",601
8,4,1555,"GLADSTONE",1,"0421",602
8,4,1556,"GLADSTONE",1,"0423",603
8,4,1557,"GLADSTONE",1,"0443",604
8,4,1558,"GLADSTONE",1,"0447",605
8,4,1559,"GLADSTONE",1,"0449",606
8,4,1560,"GLADSTONE",1,"0451",607
8,4,1561,"GLADSTONE",1,"0453",608
8,5,1562,"GLADSTONE",1,"8431",609
8,5,1563,"GLADSTONE",1,"8433",610
9,14,1564,"NEWARK PENN STATION",0,"8850",611
9,14,1565,"NEWARK PENN STATION",0,"8852",612
9,2,1566,"NEW YORK PENN STATION",0,"7814",613
9,2,1567,"NEW YORK PENN STATION",0,"7822",614
9,2,1568,"NEW YORK PENN STATION",0,"7834",615
9,2,1569,"NEW YORK PENN STATION",0,"7838",616
9,2,1570,"NEW YORK PENN STATION",0,"7850",617
9,2,1571,"NEW YORK PENN STATION",0,"7858",618
9,2,1572,"NEW YORK PENN STATION",0,"7846",619
9,2,1573,"NEW YORK PENN STATION",0,"7854",620
9,2,1574,"NEW YORK PENN STATION",0,"7818",621
9,2,1575,"NEW YORK PENN STATION",0,"7826",622
9,2,1576,"NEW YORK PENN STATION",0,"7830",623
9,2,1577,"NEW YORK PENN STATION",0,"7812",624
9,2,1578,"NEW YORK PENN STATION",0,"7820",625
9,2,1579,"NEW YORK PENN STATION",0,"7824",626
9,2,1580,"NEW YORK PENN STATION",0,"7828",627
